Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
179º,Mini Hatch 5 portas,24,32,40,32,16,20,,,,,,32,196
180º,Jaguar F-Pace,,,,,,2,13,,44,44,41,44,188
,,,,,,,,,,,,,,
181º,Audi A6,14,5,7,7,7,15,28,50,19,14,8,10,184
182º,Audi Q7,17,22,28,16,15,14,12,8,9,5,11,20,177
183º,Geely EC7,19,13,48,6,9,7,5,10,9,10,9,15,160
184º,Mercedes-Benz Classe B,12,14,14,14,21,19,12,11,12,11,5,11,156
185º,Peugeot 3008,12,24,35,28,24,10,4,6,4,,3,3,153
186º,Suzuki Vitara,,,,,,,,,,,56,96,152
187º,Subaru WRX,8,7,9,14,8,9,14,15,17,6,16,23,146
188º,Porsche 911,8,1,4,4,8,11,23,31,23,11,2,15,141
189º,Jeep Wrangler,10,13,22,22,10,12,10,11,6,12,3,6,137
190º,Subaru Outback,15,10,14,21,6,15,9,8,3,10,9,8,128
191º,Volvo V60,17,6,12,5,14,15,8,11,6,9,14,10,127
192º,BMW Série 5,13,17,12,8,9,15,10,18,6,5,3,8,124
193º,Honda Accord,14,15,12,13,22,16,12,6,1,1,7,3,122
194º,BMW Série 4,12,3,6,15,14,13,15,8,5,7,2,22,122
195º,Volkswagen Touareg,7,5,9,9,10,9,11,10,17,14,8,6,115
196º,Porsche 718 Boxster,3,4,,,9,5,3,16,15,24,17,16,112
197º,BMW M3,15,16,10,11,5,8,7,12,9,4,5,9,111
198º,Subaru Impreza,31,35,45,,,,,,,,,,111
199º,BMW i3,10,6,10,7,8,9,11,7,10,9,13,7,107
200º,JAC T8,17,18,21,5,6,4,5,2,9,6,3,9,105
,,,,,,,,,,,,,,
201º,Jaguar XF,11,4,17,4,9,12,8,13,3,6,9,6,102
202º,Kia Grand Carnival,5,4,6,11,9,7,10,7,6,10,13,12,100
203º,Suzuki Swift,20,10,7,7,7,12,10,3,4,2,5,10,97
204º,JAC J5,21,9,14,7,2,5,6,10,8,5,1,8,96
205º,Shineray A9,6,6,11,4,12,6,9,8,2,7,9,14,94
206º,Subaru Legacy,,1,3,4,3,4,16,17,9,5,8,8,78
207º,Rely Pick-up,12,10,9,5,5,9,6,6,3,10,2,,77
208º,Lexus CT,1,1,,8,3,7,4,8,6,6,23,8,75
209º,Citroën DS 5,15,11,8,9,8,5,2,3,3,3,2,3,72
210º,Kia Optima,12,6,10,7,5,6,5,4,3,5,2,3,68
211º,BMW Z4,9,5,1,3,7,3,11,3,10,5,3,7,67
212º,Mercedes-Benz Classe S,8,6,4,6,5,8,7,1,5,9,4,4,67
213º,Audi S3 Sportback,2,3,11,1,2,9,7,4,7,8,8,4,66
214º,Land Rover Range Rover,5,4,13,7,3,1,,8,3,7,8,5,64
215º,Mercedes-Benz SLC,12,6,10,15,11,3,1,2,,2,,2,64
216º,Jinbei Topic Passageiro,8,10,7,11,4,7,3,4,2,,3,1,60
217º,JAC J6,5,6,3,3,2,3,2,2,22,3,1,6,58
218º,Citroën DS 3,7,6,18,2,1,3,4,4,1,5,3,1,55
219º,Audi SQ5,3,1,2,1,4,8,9,8,2,4,11,1,54
220º,BMW M1,9,3,4,3,6,7,5,5,,2,1,9,54
,,,,,,,,,,,,,,
221º,Toyota Camry,4,3,5,2,2,1,,5,3,17,3,4,49
222º,Mercedes-Benz CLS,3,1,4,6,7,3,2,6,5,3,3,5,48
223º,Lexus ES,2,4,3,3,5,1,6,8,4,3,2,3,44
224º,Lexus RX,1,,,1,1,14,3,,2,5,5,10,42
225º,Audi RS Q3,1,2,6,2,9,15,4,,1,2,,,42
226º,Porsche 718 Cayman,4,2,2,5,5,2,2,7,1,1,3,7,41
227º,BMW M6,11,1,1,4,,2,3,4,2,3,3,5,39
228º,Audi A4 Avant,7,11,15,3,,1,,,,,,,37
229º,Chrysler Town & Country,2,2,4,1,6,,5,9,5,1,1,,36
230º,BMW M235i,8,5,3,3,7,2,2,3,1,,2,,36
231º,Volkswagen CC,3,2,1,,5,6,3,6,4,,1,5,36
232º,Dodge Durango,2,2,7,8,3,6,4,,,1,,2,35
233º,Kia Mohave,2,3,2,5,3,2,4,7,2,1,2,2,35
234º,Audi A7 Sportback,1,2,5,4,5,3,2,5,2,2,1,2,34
235º,Audi RS 6 Avant,2,1,2,2,6,3,1,3,3,2,1,4,30
236º,BMW Série 7,3,1,1,1,2,,3,6,3,4,3,1,28
237º,BMW M4,3,1,1,1,,4,4,3,1,3,1,5,27
238º,Mini One,2,2,,2,9,11,,,,,,,26
